hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night
Mandaren Suites,Taif,400,Two-Bedroom Apartment,3,8.7,Fabulous,251,1
Al Rawda Jewel Apartment Hotel,Jeddah ,245,Deluxe Apartment,1,8.0,Very good,512,1
Dior Inn Hotel,Jeddah,360,Superior King Room,1,9.0,Superb,1411,1
Elite Suites Hotel - Al sahafah,Riyadh,450,One-Bedroom Apartment,1,7.9,Good,569,1
Nadra Furnished Apartments,Taif,300,Two-Bedroom Apartment,3,6.8,Review score,268,1
Narcissus Hotel and SPA Riyadh,Riyadh,1100,Double Room,1,8.6,Fabulous,3439,1
Braira Hotel-Olaya,Riyadh ,522,Superior Double Room,1,8.6,Fabulous,3365,1
Habitat Hotel All Suites - Jeddah,Jeddah  ,500,Junior Suite with Twin Bed,3,8.0,Very good,2220,1
Grand Silverton Hotel,Al Khobar ,450,Superior Double Room,1,8.2,Very good,2568,1
Howard Johnson Dammam Hotel,Dammam,349,King Room with City View - Non-Smoking,1,7.7,Good,1868,1
Dior Inn Hotel,Jeddah  ,360,Superior King Room,1,9.0,Superb,1411,1
Elite Suites Hotel - Al sahafah,Riyadh  ,450,One-Bedroom Apartment,1,7.9,Good,569,1
Makkah Towers,Makkah  ,350,2 Single Guestroom City View,3,8.0,Very good,6138,1
Nadra Furnished Apartments,Taif  ,300,Two-Bedroom Apartment,3,6.8,Review score,268,1
"Al Ahsa InterContinental, an IHG Hotel",Al Hofuf,602,Deluxe King Room - Non-Smoking,1,8.1,Very good,996,1
Andalus Habitat Hotel,Jeddah,596,Studio with Sofa Bed,1,8.6,Fabulous,384,1
Sadeem Hotel Suites2,Jeddah,449,Two-Bedroom Suite,3,8.3,Very good,405,1
Iwan Alandalusia Al Ajaweed,Jeddah,230,Deluxe Double or Twin Room,2,7.8,Good,444,1
Sea Club Resort(Families only),Dammam,1000,Three-Bedroom Chalet with Private Pool,5,7.3,Good,681,1
Delmon Hotel Suites,Jeddah ,225,One-Bedroom Apartment,3,6.7,Review score,171,1
Holiday Khaleej Hotel,Riyadh,495,Deluxe Double Room,2,8.2,Very good,3642,1
Le Meridien Medina,Madinah,320,"High Floor Standard King Bed, Sofa bed",1,7.9,Good,1798,1
Nights Silence- Furnished Appartement By Kyan,Khamis Mushayt,235,Junior Suite,1,8.4,Very good,731,1
Dallah Taibah Hotel,Madinah,760,Executive Suite,1,9.2,Superb,6872,1
الاريام للاجنحة الفندقية,Buraydah,350,Junior Suite,2,8.4,Very good,207,1
Elaf Jeddah Hotel - Red Sea Mall,Jeddah,600,Deluxe King Room,1,7.3,Good,3794,1
Quiet Dreams - Quraysh Branch,Jeddah ,200,One-Bedroom Apartment,1,8.2,Very good,749,1
Sheraton Dammam Hotel & Convention Centre,Dammam ,515,"Classic Room, Guest room, 1 King, City view, Low floor",1,7.4,Good,1953,1
Donatello Jeddah Hotel,Jeddah,440,Junior Suite,1,8.4,Very good,387,1
Zwarah Hotel Suites,Jeddah,221,Studio (2 Adults),1,7.2,Good,218,1
Hayat Al Rose Hotel Appartment,Jeddah  ,203,Superior Double Room,1,8.3,Very good,273,1
Pinetree Suites Hail,Hail,291,Standard Suite,2,7.9,Good,466,1
Swiss International Royal Hotel Riyadh,Riyadh,645,Executive Room,1,8.0,Very good,1431,1
"voco - Riyadh, an IHG Hotel",Riyadh,630,Standard Room,1,8.3,Very good,2254,1
شقق درر رامه 5,Riyadh,200,Studio,1,6.1,Review score,186,1
Kempinski Al Othman Hotel Al Khobar,Al Khobar,797,Deluxe Twin Room,2,8.3,Very good,4387,1
Retaj Hotel Apartments,Riyadh,200,Deluxe Room,1,6.8,Review score,128,1
Orian Hotel,Jeddah,190,Studio Apartment,1,7.8,Good,154,1
The First Tower Hotel,Al Jubail,189,Standard Studio,1,8.3,Very good,201,1
Aswar Hotel Suites Riyadh,Riyadh,563,Studio,1,8.5,Very good,1463,1
"InterContinental Riyadh, an IHG Hotel",Riyadh,716,Standard Room,1,7.8,Good,1265,1
Ghalia Uhod,Madinah,270,One-Bedroom Apartment with Living,1,8.2,Very good,1077,1
Mövenpick Hotel Al Khobar,Al Khobar,900,Premium King Room,1,8.2,Very good,2398,1
Hilton Suites Makkah,Makkah,475,King Room City View,1,8.8,Fabulous,7876,1
The Venue Jeddah Corniche,Jeddah,739,Deluxe King Room with City View City Tower,1,7.6,Good,4725,1
Rose Palace Furnished Units,Abha,342,شقه من غرفتى نوم بدون صاله,3,8.1,Very good,292,1
سمر الماسيه للاجنحه الفندقيه الفاخره - حي الصفا بجدة,Jeddah,190,Family Studio,1,7.7,Good,37,1
أبها بارادايس - عوائل,Abha,380,One-Bedroom Chalet,1,8.5,Very good,314,1
Brand Al Qassim Hotel,Buraydah,540,Twin Room - Disability Access,2,8.9,Fabulous,261,1
Mrakez Alarab Furnished Apartments 3,Jeddah,250,Two-Bedroom Apartment,3,7.9,Good,63,1
Ascott Rafal Olaya Riyadh,Riyadh ,2257,Two-Bedroom Executive,2,7.2,Good,5072,1
Fraser Suites Riyadh,Riyadh,1035,Executive One Bedroom Suite,1,7.9,Good,4110,1
Adagio Aparthotel Jeddah Malik Road,Jeddah,570,One-Bedroom Apartment,1,8.2,Very good,862,1
Dist Inn Aparthotel 2,Hail ,200,Deluxe Studio,1,7.3,Good,169,1
Al Fahad Hotel Suites Al Tahliya,Jeddah,198,Budget Double Room,1,8.1,Very good,649,1
Ascott Tahlia Jeddah,Jeddah,473,Executive Studio,1,7.6,Good,4212,1
Al Louloah Al Baraqah Furnished Apartments,Jeddah,176,Standard Single Room,1,8.5,Very good,87,1
"Habitat All Suites, Al Khobar",Al Khobar,950,Royal Suite,1,7.7,Good,3802,1
Rahat Al Bal Furnished Units,Jeddah  ,204,Family Studio,2,8.2,Very good,293,1
Season Star Hotel Madinah فندق سيزون ستار المدينة,Madinah,280,Deluxe Twin Room,2,8.9,Fabulous,254,1
Dara Hamra,Jeddah,520,Studio Apartment,1,8.7,Fabulous,1092,1
منازل الجميرة للشقق الفندقية,Jeddah,182,One-Bedroom Apartment,2,8.0,Very good,43,1
E1 Hotel,Riyadh ,300,Deluxe Apartment,1,7.3,Good,97,1
Makkah Hotel,Makkah,474,1 King Guestroom,1,8.7,Fabulous,4506,1
منازل الساهر للوحدات السكنية فرع 2,Al Qunfudhah,250,One-Bedroom Apartment,2,7.0,Good,38,1
Dara Al Salam,Jeddah,467,Suite Studio,1,9.0,Superb,1438,1
Enwan Suites Hotel,Al Jubail,199,King Studio,1,8.3,Very good,12,1
Orans Suites 4,Jeddah,413,Royal Studio,1,7.9,Good,287,1
"InterContinental Al Khobar, an IHG Hotel",Al Khobar,1299,Standard King Room,1,8.4,Very good,1131,1
Casablanca Grand Hotel,Jeddah,1350,Executive Suite,2,9.0,Superb,3938,1
Mrakez Alarab Furnished Apartments 3,Jeddah ,250,Two-Bedroom Apartment,3,7.9,Good,63,1
Ascott Rafal Olaya Riyadh,Riyadh,2144,Two-Bedroom Executive,2,7.2,Good,5072,1
Fraser Suites Riyadh,Riyadh,983,Executive One Bedroom Suite,1,7.9,Good,4110,1
Braira AL Wezarat,Riyadh,299,Superior Double Room,1,8.5,Very good,2774,1
Dist Inn Aparthotel 2,Hail,200,Deluxe Studio,1,7.3,Good,169,1
Ascott Tahlia Jeddah,Jeddah,449,Executive Studio,1,7.6,Good,4212,1
"Habitat All Suites, Al Khobar",Al Khobar,903,Royal Suite,1,7.7,Good,3802,1
Rahat Al Bal Furnished Units,Jeddah,204,Family Studio,2,8.2,Very good,293,1
Al Balad Inn Corniche,Jeddah,333,Junior Suite,1,7.3,Good,582,1
E1 Hotel,Riyadh,300,Deluxe Apartment,1,7.3,Good,97,1
Makkah Hotel,Makkah,450,1 King Guestroom,1,8.7,Fabulous,4506,1
Madareem Crown Hotel,Riyadh,578,Standard Single Room,1,7.3,Good,645,1
"Park Hyatt Jeddah - Marina, Club and Spa",Jeddah,1500,King Room,1,8.0,Very good,1527,1
شقق قصر العنوان الفندقية,Dammam,612,Junior Suite,1,9.1,Superb,248,1
Beach Time Villas Hotel - Family Villas,Jeddah,1458,Three-Bedroom Villa,5,7.9,Good,675,1
Al Balad Inn Al Mishkat,Jeddah,268,Deluxe Apartment,1,6.6,Review score,86,1
Waldorf Astoria Jeddah - Qasr Al Sharq,Jeddah,1340,Qasr King Room,2,9.1,Superb,289,1
Marriott Executive Apartments Madinah,Al Madinah,584,"Studio Apartment, 2 Double, Sofa bed, Garden view",3,9.0,Superb,895,1
Mnazel Jawraq,Riyadh,1665,Villa with Private Pool,4,8.8,Fabulous,58,1
Alreef Diamond Villas,Taif,1500,Standard Villa,13,9.0,Superb,101,1
Rolana Furnished Apartments,Jeddah,189,Deluxe Studio,1,7.5,Good,40,1
Kadi Hotel,Najran,177,One-Bedroom Suite,2,7.9,Good,43,1
Tanuma Aram Hospitality - Hotel Apartments,Tanomah,306,Apartment with Mountain View,1,8.2,Very good,1005,1
Al Meshan Hotel,Madinah,120,Double or Twin Room with Bathroom,1,6.8,Review score,55,1
فندق الكامل,Makkah,250,Double or Twin Room,1,8.6,Fabulous,52,1
فندق برج الإبريز,Baish,238,King Room,1,7.7,Good,186,1
Raoum Inn Shaqra,Shaqra,180,Deluxe Junior Suite,1,6.6,Review score,188,1
Al Lord Hotel,Hafr Al Baten,200,Studio Apartment,1,7.6,Good,89,1
Khabti Grand Hotel,Bishah,420,Standard Double Room,1,8.3,Very good,1310,1
Golden Sea Hotel,Obhor,219,Deluxe Single Room,1,8.2,Very good,171,1
Central Park Hotel Bisha فندق سنترال بارك بيشة,Khamis Mushayt,309,Superior King Room,1,8.2,Very good,195,1
Desert Rose Motel,Al Ghat,150,Family Room with Private Bathroom,1,0.0,,0,1
Golden Dune Hotel,Turayf ,180,Superior King Room,1,9.0,Superb,1733,1
قصر البالود 2,Riyadh ,220,Three-Bedroom Suite,5,8.9,Fabulous,228,1
Lavana Furnished Apartments Jeddah,Riyadh,500,Family Studio,3,9.0,Superb,48,1
Nakheel Moon Aparthotel,Riyadh,230,Deluxe Room,1,6.7,Review score,51,1
زيد للأجنحة الفندقية - Zaid Hotel Suites,Turayf,172,Deluxe Double Room,2,8.9,Fabulous,41,1
Le Park Concord Hotel,Riyadh,185,Deluxe Single Room,1,9.0,Superb,423,1
Almudawah Hotel,Turayf,160,Superior Single Room,1,8.3,Very good,119,1
اجنحة ياقوتة المدينة,Madinah,250,King Studio,1,9.2,Superb,6,1
Mohamadia Al Zahra Hotel,Madinah,130,Superior King Room,1,7.5,Good,1407,1
ربوة الصفوة Rabwat Al-Safwah 8,Madinah,105,King Room,1,7.6,Good,14,1
MENA AL DIYAR 114,Riyadh ,55,Small Single Room,1,6.3,Review score,290,1
Sharurah Plaza Hotel,Sharurah,200,One-Bedroom Apartment,3,8.7,Fabulous,294,1
Ladera Hotel Tanomah,Tanomah,300,Studio,1,7.2,Good,163,1
Al Jahwah hotel by AL BALAD INN,Asir,200,Deluxe Double Room (2 Adults + 1 Child),1,8.1,Very good,398,1
Al Andlus Palace 2 Hotel Kurban فندق قصر الاندلس 2 قربان,Madinah,160,Large Double Room,2,7.9,Good,58,1
Qemam Al Safwah Grand Hotel,Rafha,135,Double Room,1,5.9,Review score,19,1
Rabigh Park Hotel,Rabigh,288,Deluxe Double Room,1,8.0,Very good,530,1
منتجع جيدا بارك,Riyadh,500,Cottage with Garden View,3,8.7,Fabulous,361,1
Kyona Purple -Al Qurayat,Jeddah,140,Studio,2,8.4,Very good,77,1
Milan Hotel,Makkah,285,One-Bedroom Apartment,1,7.6,Good,15,1
Al Rawda Al Aqeeq Hotel,Madinah,161,Standard Twin Room,2,7.2,Good,3503,1
Jawharat Al Amaken Hotel,Tayma,230,One-Bedroom Apartment,1,8.7,Fabulous,160,1
manzel aram 105,Riyadh,55,Small Single Room,1,5.7,Review score,701,1
فندق جولدن العرين,Abha ,154,Budget Double Room,1,9.9,Exceptional,127,1
فندق العروبة,Riyadh,89,King Studio,1,6.1,Review score,2407,1
Faifa Hotel,Fayfa,1210,Superior Suite,1,7.0,Good,302,1
العييري للوحدات المفروشة الباحة3,Al Baha,110,Double Room with Private Bathroom,2,3.7,Review score,72,1
Anwar Al Zahraa Hotel,Madinah,100,Double Room,2,7.3,Good,259,1
OYO 242 Al Ahlam Resort Al Leith,Al Lith,385,Standard Studio Double,1,6.5,Review score,333,1
Ebreez Hotel,Jeddah,239,Deluxe King Room,1,7.5,Good,2247,1
Hawadah Hotel,Jeddah,245,Double Room with Sea View,2,7.3,Good,460,1
شدون للوحدات السكنية,Buraydah,144,Economy Double Room,1,6.9,Review score,170,1
فندق رحابة Rahabah Hotel,Madinah,158,Budget Double Room,1,7.2,Good,13,1
Acacia Aparthotel,Jeddah,180,Standard Studio,2,7.4,Good,1387,1
Al Muhaidb Residence Al Dawadmi,Riyadh,350,Two-Bedroom Apartment,3,8.7,Fabulous,663,1
Rayat Alshalal Hotel 2,Hafr Al Baten,315,Deluxe Double or Twin Room,1,8.2,Very good,91,1
Rabigh Tower Hotel,Rabigh,140,Double Room,1,5.5,Review score,210,1
دالين جدة,Jeddah ,160,Studio,1,0.0,,0,1
الديوان للوحدات السكنية,Makkah ,130,One-Bedroom Apartment,1,5.1,Review score,62,1
Plaza Business Hotel,Riyadh,231,Standard Double or Twin Room,2,6.6,Review score,3576,1
ارياف القهيب للشقق المفروشه بالطايف,Taif,115,One-Bedroom Apartment,1,0.0,,0,1
القصر المميز للوحدات السكنية,Riyadh,107,One-Bedroom Apartment,1,6.5,Review score,13,1
ASTER HOTEL,Jeddah ,285,Deluxe Double Room with Side Sea View,1,7.6,Good,1401,1
ريف الهجرة للوحدات السكنية,Al ‘Awālī,122,Deluxe Single Room,1,7.4,Good,135,1
فندق سبال,Madinah,140,Double Room,2,6.4,Review score,227,1
Sama Inn Hotel,Riyadh,254,Superior Single Room,1,7.8,Good,310,1
Al Kiswah Towers Hotel,Makkah,99,Standard Double or Twin Room,2,8.2,Very good,5241,1
دوفيل ان,Şabyā,350,Deluxe King Room,1,8.3,Very good,72,1
رواح للوحدات السكنية,Jeddah,190,One-Bedroom Apartment,2,7.5,Good,180,1
Saif Boutique Hotel International,Al Qassim ,315,Classic King Room,1,7.6,Good,455,1
استراحة قطوف الورد بالطايف,Taif,500,Deluxe Room (2 Adults + 1 Child),1,0.0,,0,1
شقق بيات العالية بوادي بن هشبل Bayat Al aliah Apartments in Wadi bin Hashbal,Khamis Mushayt,130,One-Bedroom Apartment,4,8.9,Fabulous,21,1
سرو للوحدات السكنية,Al Namas,250,One-Bedroom Villa,1,7.6,Good,425,1
Mena Andalusia Riyadh,Riyadh ,213,Standard Room Twin,1,7.2,Good,3259,1
Bhadur Resort Jeddah,Obhor,600,Standard  Room,1,5.7,Review score,852,1
Quartz Executive كوارتز التنفيذية,Abha,322,Superior Suite,2,8.5,Very good,87,1
رواسل,Jeddah,208,Two-Bedroom Apartment,4,8.1,Very good,79,1
Almuhaidb Residence Al Jubail,Al Jubail,270,Standard King Room,1,7.7,Good,1595,1
فندق العرب إن,Riyadh,80,Budget Triple Room,3,7.3,Good,33,1
Royal El Naser Hotel,Al Khobar,200,Budget Single Room,1,5.4,Review score,374,1
Karam Hiraa Hotel Apartments - كرم حراء للشقق الفندقية,Jeddah,215,Deluxe King Studio,1,8.0,Very good,863,1
Crown Rose Hotel,Riyadh,360,Superior King Room,1,7.8,Good,1139,1
دار اجواء 2,Riyadh,179,One-Bedroom Apartment,1,0.0,,0,1
بسمة,Abha  ,119,Two-Bedroom Apartment,6,5.5,Review score,24,1
Aber Al Takhassusi,Riyadh,495,Deluxe King Room,1,8.5,Very good,535,1
فندق العاصمة,Riyadh,105,Double Room,1,6.0,Review score,44,1
Rollins Hotel,Buraydah,279,King Suite,1,8.0,Very good,2014,1
فندق حديقة القصور,Jazan,212,Economy Double Room,1,8.0,Very good,71,1
Obaer Hotel,Riyadh,350,Deluxe King Room,1,7.3,Good,2799,1
وارفة للشقق المفروشة,Jeddah ,170,Studio,1,7.1,Good,406,1
لوس للشقق المفروشة,Riyadh,150,Studio,1,6.1,Review score,65,1
A H Hotel,Jeddah,158,Studio,1,8.1,Very good,2121,1
سرور,Riyadh ,55,Single Room,1,0.0,,0,1
Al Nabarees Al Masi Hotel,Jeddah,106,Deluxe Twin Room,2,6.5,Review score,1693,1
Golden Tulip Hail,Hail,318,Executive Room,1,6.5,Review score,1797,1
Adwaa Rafa,Al Kharj,113,Deluxe Room (2 Adults + 1 Child),1,7.5,Good,659,1
ريف عسير للشقق المفروشة,Khamis Mushayt,123,Single Room,1,7.5,Good,34,1
Orchida Turaif Hotel 1,Turayf,125,Twin Room,2,6.0,Review score,23,1
Diamond Suites,Madinah,134,Economy Double Room,1,7.1,Good,144,1
Areen ApartHotel,Riyadh,203,Deluxe Double Room,1,7.4,Good,521,1
Jinan Al Nakhil Apartment Hotel,Riyadh,193,Superior Suite,1,8.6,Fabulous,117,1
The District Hotel Najran,Najran,310,Deluxe Double Room with City View,1,8.4,Very good,993,1
سفن سيز 2 للوحدات السكينه,Jeddah  ,162,One-Bedroom Apartment,3,5.5,Review score,236,1
Freesia Hotel,Jeddah  ,270,One-Bedroom Suite,1,7.8,Good,59,1
Pearl of Vision Hotel,Jeddah  ,153,Standard Single Room,1,8.5,Very good,134,1
Raoum Inn - Hawtah Bani Tamim,Riyadh,165,One-Bedroom Suite,1,6.4,Review score,126,1
Safa Albawadi,Jeddah  ,115,Twin Room,2,7.6,Good,773,1
Aber Hotel Unayzah,Unayzah  ,285,Twin Room,2,8.4,Very good,648,1
Golden Tulip Al Nasiriah Hotel,Riyadh,291,Standard King Room,1,6.6,Review score,3521,1
Al Rahden Hotel,Riyadh,594,Deluxe Double or Twin Room with Balcony,2,8.5,Very good,660,1
Toot House,Taif,250,One-Bedroom Apartment,1,8.2,Very good,1933,1
Hayah Golden Hotel,Madinah,122,Quadruple Room,4,6.9,Review score,1206,1
Qasr Al Nabarees ApartHotel,Jeddah,124,One-Bedroom Apartment,2,5.1,Review score,167,1
القصر للاجنحة الفندقية 7 الواديين,Khamis Mushayt,360,Junior Suite,2,8.7,Fabulous,100,1
Midan Hotel,Makkah,189,Double Room,1,8.6,Fabulous,3508,1
Taraf Al Asalah Villas,Asir,200,One-Bedroom Villa,1,7.4,Good,125,1
Lavana Furnished Apartments Salam,Jeddah,161,Studio,1,7.9,Good,796,1
Bay La Sun Hotel and Marina - KAEC,King Abdullah Economic City,1074,Deluxe Double Room with City View,1,8.2,Very good,9054,1
Vision of Onaizah Furnished Units,Unayzah,153,Twin Room,2,8.2,Very good,829,1
فندق لافندر,Taif,499,Deluxe Suite,1,8.3,Very good,632,1
Dar Al Naem Hotel,Madinah,150,Standard Twin Room,2,6.4,Review score,1371,1
Marriott Executive Apartments Madinah,Madinah,850,"Studio Apartment, 1 King, Sofa bed, Garden view",2,9.0,Superb,895,1
Mnazel Jawraq,Riyadh,2250,Villa with Private Pool,4,8.8,Fabulous,58,1
شاليهات ويڤ Wave Resorts,Al Khobar,3750,Chalet,4,7.9,Good,39,1
Villa Al Nakhil,King Abdullah Economic City,1764,Three-Bedroom Villa,5,0.0,,0,1
دار الود للأجنحة الفندقية,Jeddah,217,Studio,1,8.2,Very good,336,1
Alreef Diamond Villas,Taif,1500,Standard Villa,13,9.0,Superb,101,1
Rolana Furnished Apartments,Jeddah,189,Deluxe Studio,1,7.5,Good,40,1
Saray Chalet at Amwaj Resort شاليه ساراي في منتجع أمواج للعائلات فقط,Al Khobar,4079,Four-Bedroom House,7,8.3,Very good,12,1
Shams W Qamar Chalets,Taif,1170,One-Bedroom Chalet,5,8.5,Very good,20,1
فندق حياة تاون,Umm Lajj,629,Deluxe Suite,2,7.3,Good,8,1
Luqya Hotel Suites,Jeddah ,140,Studio Apartment,1,7.6,Good,97,1
Kadi Hotel,Najran,177,One-Bedroom Suite,2,7.8,Good,44,1
فلل المدينة العاليةVIP,Abha,3200,Two-Bedroom Villa,3,0.0,,0,1
Tanuma Aram Hospitality - Hotel Apartments,Tanomah,247,Studio with Mountain View,1,8.2,Very good,1005,1
Al Farhan Dumah Al Jandal,Dawmat al Jandal,179,Deluxe Apartment,2,8.2,Very good,105,1
Al Meshan Hotel,Madinah,120,Double or Twin Room with Bathroom,1,6.8,Review score,55,1
فندق الكامل,Makkah,250,Double or Twin Room,1,8.6,Fabulous,52,1
فندق بلانتي,Makkah,136,Basic Triple Room,3,8.0,Very good,85,1
فندق برج الإبريز,Baish,238,King Room,1,7.7,Good,186,1
Raoum Inn Shaqra,Shaqra,150,Superior Double Room,1,6.6,Review score,188,1
Al Lord Hotel,Hafr Al Baten,200,Studio Apartment,1,7.6,Good,89,1
Asfar Hotel Suites,Shaqra  ,241,Standard Suite,1,8.9,Fabulous,214,1
Khabti Grand Hotel,Bishah,400,Budget Double Room,1,8.3,Very good,1310,1
Golden Sea Hotel,Obhor ,340,Junior Suite,1,8.2,Very good,172,1
Desert Rose Motel,Al Ghat,150,Family Room with Private Bathroom,1,0.0,,0,1
Golden Dune Hotel,Turayf,250,Small Double Room,1,9.0,Superb,1735,1
قصر البالود 2,Riyadh,127,Budget Double Room,1,8.9,Fabulous,228,1
العييري للوحدات المفروشة الباحة3,Buraydah,110,Double Room with Private Bathroom,2,3.7,Review score,72,1